NefMES,NefAC,NefOPC,NefNPC,VerMES,VerCL,VerNL,VerPN
HILPDA,CST3,BCAN,DLL3,ACP3,ABCD2,ACSL4,ABAT
ADM,S100B,PLP1,DLL1,ACSL1,ACSBG1,ACYP2,ACTR1A
DDIT3,SLC1A3,GPR17,HES6,ADAM12,ACSL3,ADD3,ADGRB3
NDRG1,HEPN1,FIBIN,NEU4,ALDH3B1,ACSS3,AGTPBP1,ADGRL3
HERPUD1,HOPX,LHFPL3,MARCKSL1,ALOX5,ADAM19,AKR7A3,ALCAM
DNAJB9,MT3,OLIG1,TCF12,AMPD3,ADGRE5,ANKRD46,AMOTL2
TRIB3,SPARCL1,PSAT1,BEX1,ANXA1,ADGRG1,ANKS1B,ARHGAP33
ENO2,MLC1,SCRG1,OLIG1,ANXA2,AKT2,ANXA3,ARHGEF9
AKAP12,GFAP,OMG,MAP2,ANXA4,ANXA5,ANXA7,ASCL1
SQSTM1,FABP7,APOD,FXYD6,ARHGAP29,APBA3,ARRB1,ATAD5
ATF3,BCAN,SIRT2,PTPRS,ARPC1B,ARAP2,ATP5MG,ATAT1
NRN1,PON2,TNR,NPPA,ARSJ,ARAP3,ATP5PB,ATP1A3
SLC2A1,METTL7B,THY1,BCAN,ASL,B3GALT1,ATRNL1,BCAN
BNIP3,SPARC,PHYHIPL,MEST,BATF,BLM,BASP1,BCL7A
INSIG2,GATM,SOX2-OT,ASCL1,BDKRB2,BMAL1,BCAS1,BCOR
IGFBP3,RAMP1,NKAIN4,BTG2,BLVRB,BTBD2,BEST1,BEX1
PPP1R15A,PMP2,LPPR1,NXPH1,BNC2,CALM1,CA4,C1QL1
PLOD2,AQP4,PTPRZ1,PFN2,C1orf54,CAMK2B,CALM2,CA10
GBE1,DBI,VCAN,SCG3,C5AR1,CARMIL1,CAMK2G,CAMSAP2
SLC2A3,EDNRB,DBI,MYT1,CASP1,CC2D1A,CASQ1,CASK
FTL,PTPRZ1,PMP2,CHD7,CASP4,CD151,CCDC121,CBX1
WARS,CLU,CNP,GPR56,CASP5,CDH2,CCK,CDC25A
ERO1L,PMP22,TNS3,TUBA1A,CASP8,CDH4,CDC42,CDC7
XPOT,ATP1A2,LIMA1,PCBP4,CAST,CDH6,CDR1,CDK5R1
HSPA5,S100A16,CA10,ETV1,CAVIN1,CDK6,CHN1,CDKN1B
GDF15,HEY1,PCDHGC3,SHD,CCR5,CLIP2,CLCA4,CELF3
EPAS1,PCDHGC3,CNTN1,TNR,CD14,CREB5,COX5B,CHD7
LDHA,TTYH1,SCD5,AMOTL2,CD2AP,DAG1,CPNE6,CILK1
P4HA1,NDRG2,P2RX7,DBN1,CD4,DENND2A,CRBN,CKB
SERTAD1,PRCP,CADM2,HIP1,CDCP1,DLC1,CRYL1,CLASP2
PFKP,ATP1B2,TTYH1,ABAT,CEBPB,DMWD,CRYM,CLGN
PGK1,AGT,FGF12,LMF1,CHI3L1,DOCK6,CRYZL1,CNTN1
EGLN3,PLTP,TMEM206,GRIK2,CLCF1,EGFR,CUTC,CRB1
SLC6A6,GPM6B,NEU4,SERINC5,CLEC2B,ELOVL2,CYRIB,CRMP1
CA9,F3,FXYD6,TSPAN13,CLIC1,EPHB4,CYTH1,CSNK1E
BNIP3L,RAB31,RNF13,ELMO1,CNN2,ERCC2,DHRS9,CSPG5
RPL21,PPAP2B,RTKN,GLCCI1,COL1A1,EXTL3,DYNC1I1,CXXC4
TRAM1,ANXA5,GPM6B,SEZ6L,COL1A2,EYA2,EDIL3,DBN1
UFM1,TSPAN7,LMF1,LRRN1,COL5A1,FBXO17,ENPP2,DCAF7
ASNS,,ALCAM,SEZ6,COL8A2,FGFR3,ENPP4,DCX
GOLT1B,,PGRMC1,STMN2,COLGALT1,FZD3,EPB41L3,DGKI
ANGPTL4,,HRASLS,CD24,COPZ2,FZD7,ETNPPL,DLL3
SLC39A14,,BCAS1,RND3,CPQ,GALNT4,EVI2A,DNM3
CDKN1A,,RAB31,HMP19,CRYBG1,GARRE1,FBXO3,DPF1
HSPA9,,PLLP,TUBB3,CSTA,GAS1,FEZF2,DPP6
CHI3L1,,FABP5,MIAT,CTSB,GJA1,FHIT,DPYSL4
ANXA2,,NLGN3,DCX,CTSC,GLG1,FUT9,DUSP26
ANXA1,,SERINC5,NSG1,CTSZ,GLI2,FXYD1,E2F3
CD44,,EPB41L2,ELAVL4,CYBRD1,GNAS,GABARAPL2,EPB41
VIM,,GPR37L1,MLLT11,CYTH4,GNG7,GABRB2,EPHB1
MT2A,,,DLX6-AS1,CYTIP,GRIK1,GNAI1,ERBB3
C1S,,,SOX11,DAB2,GRIK5,GPR22,FAM110B
NAMPT,,,NREP,DCBLD2,GSTK1,GRM1,FBXO21
EFEMP1,,,FNBP1L,DOK3,HMG20B,GRM3,FERMT1
C1R,,,TAGLN3,DRAM1,HS3ST3B1,GUK1,FGF9
SOD2,,,STMN4,DSC2,HSPBP1,HPCA,FHOD3
IFITM3,,,DLX5,DSE,ILK,HPCAL4,FLRT1
TIMP1,,,SOX4,EFEMP2,IRF3,HPRT1,FXYD6
SPP1,,,MAP1B,EHD2,IRS2,IMPA1,GABRA3
A2M,,,RBFOX2,ELF4,ITGA7,KCNJ3,GADD45G
S100A11,,,IGFBPL1,EMP3,ITGB8,KCNK1,GNG4
MT1X,,,STMN1,ENG,JAG1,LYRM1,GPM6A
S100A10,,,HN1,FCGR2A,JUND,LYRM9,GPR17
FN1,,,TMEM161B-AS1,FCGR2B,KCNF1,MAGEH1,GRIA2
LGALS1,,,DPYSL3,FES,KEAP1,MAT2B,GRID2
S100A16,,,SEPT3,FHL2,KLHDC8A,MBP,GSK3B
CLIC1,,,PKIA,FHOD1,KLHL25,MDH1,GSTA4
