""	VerCL	VerMES	VerNL	VerPN
ZNF445	-0.00129579081710542	-0.00163042482642387	-0.055198734741483	-0.0468915065247526
POGZ	-0.0288969901258541	0.0660584632482704	-0.0826118550814907	-0.0437894248325303
SRRM2	0.0574654527024139	0.0724116242573018	-0.116839784808349	-0.157120437711055
KMT2A	0.00647895408552708	0.00256593450210978	-0.111495410995292	-0.0400571564658252
UBN2	0.0311124138225829	0.0221408027552348	-0.115765047844114	-0.032604832652463
TSC2	0.0348959764534902	0.030670306116841	-0.0467278533961078	-0.0854134989405292
GPATCH8	0.0234597981204316	0.0346712587246048	-0.124172422005239	-0.0604527329461838
CCDC93	-0.011381220192842	0.11650515079903	-0.113544738979366	-0.110215496974249
TCERG1	0.01425125640415	-0.0385916060600509	-0.0867056258816202	0.0171017519433809
AC010834.3	-0.0392071372304761	-0.00046531225383333	-0.0480150951691795	-0.0740847943038941
POU2F1	0.0157485604020493	0.0562368329455731	-0.135933464011578	-0.0909483943063367
ILF3	0.0117329522902278	0.0262956381556048	-0.0109586531591771	-0.00983506451475016
DIP2A	0.0853744175963752	0.0552451438376659	-0.098166230054775	-0.123642381275151
RBM33	0.0417156710083597	0.0973455218275414	-0.151861554338335	-0.0985570434963148
ZBTB37	-0.00446137969357784	0.0307899927333126	-0.0983005721753043	-0.071546949517895
TNRC6A	0.0328393207173869	0.080643132369734	-0.11741867721863	-0.182865273172489
NEURL4	0.0260159781730608	0.00444428431939575	-0.0305799491820144	-0.0678415910025047
MARCHF6	0.0347396510768742	0.029021561910345	-0.0632152954610683	-0.0556408424472249
SFSWAP	0.0713808538052406	0.012614725117702	-0.087758379589768	-0.0435891329437412
GATAD2B	-0.0308339592454858	0.00740713600918412	-0.0293293274955576	0.0315765047844114
LRIG2	-0.0718937964472616	0.0172385366479198	-0.0854892190448276	-0.0200084269148332
PRDM15	0.0379834026416546	0.0646466496907078	-0.0854696783727506	-0.130110343732635
NKTR	-0.0122996317804606	0.0656139129585188	-0.144787831046464	-0.103916072813429
ZCCHC14	0.0790041584992764	-0.0200328527549294	-0.0936156960448459	-0.0570160172446431
AGO3	-0.0133475003205892	0.0188066755820983	-0.0283107699635444	-0.0510927510213055
NR2C2	-0.0121555193238928	0.0211246878072313	-0.0893533869480524	-0.083259139844041
AGO2	0.0426633936040938	-0.0116767728580065	-0.134590042806285	-0.0471088965016091
DNASE1	0.036426277579087	0.0315557620897355	-0.0738100486746363	-0.112316187807978
KANSL1	-0.020516484388835	0.0398935033371804	-0.0874066474923822	-0.0364787708917264
NBPF12	0.0267670568694622	0.0325681938923187	-0.115259432954122	-0.0677560591349589
LAS1L	0.0420307643456012	0.0689162865395302	-0.0954598469721118	-0.0497102484718584
NSD3	0.0651278387406037	0.0446247885638217	-0.120874933592247	-0.0701033823682074
BACE1-AS	0.0354284597675881	0.00406323850000916	-0.0910973919309237	-0.0436062310318086
SETD5	-0.0540311795848829	-0.0216767117934063	-0.0419428313212548	-0.0133523854886084
SNAPC4	0.0669964155079659	-0.0214764199046171	-0.0678586476633631	-0.0212223911676162
CREBZF	-0.0195003694408315	0.0257655974255165	-0.0381079744261454	-0.0272580162553966
ZNF711	-0.0548592155641453	-0.0548372323080587	-0.019146194759436	0.0336820122007071
ZNF397	-0.0219649367065419	-0.015445679984856	-0.0373654288872198	-0.0278711048418122
MLLT6	0.0695073918698591	0.0809191443628215	-0.0932175548512772	-0.131519714706188
TENT4A	0.0877437240857103	0.00923418884838271	-0.0934422725801626	-0.105894565861225
CRAMP1	0.054666251427385	0.0586843021232162	-0.12098729245669	-0.0968643327776455
EP400	0.0482569109861322	0.0200523934270064	-0.0739699928554418	-0.0625362571063929
RBBP6	-0.00681847326286479	0.020191620715555	-0.0784252660889956	-0.0641508051367542
MTMR4	0.0825214794731347	-0.052790346907994	-0.152955831974646	-0.0739113708392108
FAM193A	0.0217573170657238	-0.0232766043197098	-0.00626156410867056	-0.046012176281288
STRADA	-0.0196054005532453	0.0177759051300371	-0.0290826265105856	-0.0890480639468494
TSC1	0.0266400425009618	-0.0248642839259653	-0.0937622510854233	-0.0482886645782573
GPR173	-0.0297103706010589	-0.0260513797546424	-0.0532984043819957	0.0195125823608796
CHD6	-0.000790175927113293	0.043940865041127	-0.0839406207827261	-0.0616593694469379
ARMCX4	0.0390630247739083	0.0409560273813668	-0.169567845824097	-0.0432496137664035
