source	target	ligand.complex	receptor.complex	aggregate_rank	mean_rank	natmi.edge_specificity	natmi.rank	connectome.weight_sc	connectome.rank	logfc.logfc_comb	logfc.rank	sca.LRscore	sca.rank	cellphonedb.pvalue	cellphonedb.rank
TCells	TCells	B2M	CD3D	1.80928763594741e-06	194.2	0.481260509766537	412	5.63280977962412	6	3.25439654991678	5	0.935427975294293	4	0	544
TCells	TCells	B2M	CD3G	8.34854027790802e-06	195.8	0.482440133442604	408	5.52932678759044	9	3.09262967689492	8	0.931670198147551	10	0	544
Myeloid	TCells	B2M	CD3D	5.6834976379044e-05	227.2	0.395332119259972	542	5.27223314012299	13	2.89609009528817	19	0.929227404551932	18	0	544
TCells	TCells	LCK	CD8A_CD8B	6.08462185913694e-05	297.2	0.996626950614548	1	6.10525074724933	2	1.44983521219952	248	0.769510340585847	691	0	544
Glioma	Glioma	NCAM1	PTPRZ1	0.000144788761066248	359	0.461328164211069	448	0.298454972761615	785	2.9644413712187	17	0.946653193152479	1	0	544
Myeloid	TCells	B2M	CD3G	0.000162010315289687	229.8	0.396301122779532	538	5.16875014808932	14	2.73432322226631	26	0.92513766268566	27	0	544
TCells	TCells	HLA-B	CD3D	0.000180535200949872	189.2	0.52055794978769	353	5.57434762421277	7	3.0131247706222	14	0.92472798522833	28	0	544
TCells	TCells	HLA-B	CD3G	0.000321617830744031	191.5	0.521833895912238	349.5	5.4708646321791	10	2.85135789760034	20	0.920400507879549	34	0	544
TCells	TCells	HLA-A	CD3D	0.000350544316586935	195.8	0.51253493578035	368	5.46984517533786	11	2.83375469092314	21	0.920028957520535	35	0	544
Glioma	Myeloid	APP	CD74	0.000457744668212726	221.6	0.589792173228479	280	1.35964681662447	254	2.91755726269528	18	0.930948445063827	12	0	544
Myeloid	Myeloid	C3	C3AR1	0.000570697986824503	169.8	0.807812436134357	85	2.27969190137367	127	2.73158309064884	27	0.905995756420024	66	0	544
TCells	TCells	HLA-A	CD3G	0.000602186036492829	199.3	0.513791216594563	364.5	5.36636218330418	12	2.67198781790128	34	0.915456026416818	42	0	544
TCells	TCells	HLA-C	CD3D	0.000645687625170937	186	0.559108904306568	314	5.66391381381956	5	2.77672196249471	24	0.915074332748671	43	0	544
Myeloid	Myeloid	C3	ITGAX	0.000704994233134531	193.6	0.742935094680149	133	2.16677235839394	134	2.51451426459022	46	0.891176614784389	111	0	544
Myeloid	Myeloid	APOE	TREM2	0.000741256660774883	168	0.728942849556557	151	2.17272174256624	132	3.19883490026336	6	0.934009362281195	7	0	544
Myeloid	Myeloid	HLA-DRA	CD4	0.000769195002950789	191.6	0.748245240116107	128	2.11342707041263	137	2.70029729171033	29	0.889423147055837	120	0	544
TCells	TCells	HLA-C	CD3G	0.0010091671287039	190.3	0.560479343159612	311.5	5.56043082178588	8	2.61495508947286	38	0.910245723875737	50	0	544
TCells	TCells	B2M	CD247	0.00133753573078779	216	0.481098797312477	413	4.35533697346819	38	2.68933486283517	30	0.909106382331556	55	0	544
Glioma	Myeloid	VCAN	TLR2	0.00142690172471455	255	0.758332399811044	124	1.06152390233457	354	1.97461184386193	123	0.886554524388084	130	0	544
Glioma	Myeloid	CD24	SIGLEC10	0.00175593964202982	271.8	0.862319029408794	50	1.12234818731795	328	1.63640045738464	198	0.859741065589929	239	0	544
TCells	TCells	HLA-B	CD8A	0.00181551208919091	202.4	0.521641749493065	351	4.78908468523962	23	2.6745154678248	33	0.9066943470669	61	0	544
Glioma	Myeloid	THY1	ITGAX_ITGB2	0.00185319837966991	310	0.505867187046795	373	1.1098896250185	333	1.80242628411426	156	0.883087183915104	144	0	544
Myeloid	TCells	SPP1	CD44	0.00190465470371391	163.2	0.693265043389519	189	3.71552793782101	62	4.09391168606679	1	0.928640455161764	20	0	544
Glioma	Glioma	CNTN1	PTPRZ1	0.00199661455652569	366.8	0.505742838303763	374	0.239483432170627	822	2.41108030881701	63	0.921365772448114	31	0	544
TCells	Myeloid	CD52	SIGLEC10	0.00201129790733532	168.4	0.968221791512017	7	4.73406638618693	25	2.22650737751597	91	0.873867993412538	175	0	544
Myeloid	Myeloid	PLTP	ABCA1	0.00210281580088142	219.2	0.858480155588813	54	1.82403459471818	172	1.84338495306963	149	0.873835055704944	177	0	544
Glioma	Myeloid	OMG	TNFRSF1B	0.00228626074395639	368.6	0.537263728864798	336	1.10225390396057	336	1.37515523968967	269	0.837997625621887	358	0	544
TCells	TCells	VIM	CD44	0.00229503433236638	209	0.700206453379978	180	3.74158403458246	61	2.32553913220587	79	0.872557709503261	181	0	544
Myeloid	Myeloid	APOE	ABCA1	0.00253964824627248	187	0.658671923194899	218	1.94154336029459	149	3.01766657313897	13	0.931587710718502	11	0	544
Glioma	Glioma	NXPH1	NRXN1	0.00277465216463837	384	0.746870442713991	130	0.179193146609263	873	1.69028899359493	183	0.870422950079234	190	0	544
Glioma	TCells	VCAN	CD44	0.00277465216463837	189.8	0.691928254924374	190	2.61977894202075	100	2.49450430155622	48	0.905913497927235	67	0	544
Glioma	Glioma	NRXN1	NLGN1	0.00294981412005889	371.6	0.842943580154565	62.5	0.18035119552762	871.5	1.67178132847458	186.5	0.869567163752023	193.5	0	544
Myeloid	TCells	HLA-B	CD3D	0.00295764546029975	256.8	0.366976537281167	604	5.04190972906103	16	2.3499052085181	72	0.911620968475743	48	0	544
Glioma	Glioma	NLGN1	NRXN1	0.00300997268928172	371.6	0.842943580154565	62.5	0.18035119552762	871.5	1.67178132847458	186.5	0.869567163752023	193.5	0	544
Glioma	Myeloid	IGSF11	VSIR	0.00327536091026453	326.2	0.759688321115623	123	1.18295677334255	304	1.46434213042978	242	0.823370542625314	418	0	544
Glioma	Glioma	VCAN	EGFR	0.00332443253942342	376.8	0.682767306507367	199	0.186970374056717	864	1.8399106631944	150	0.886806828750924	127	0	544
Glioma	Myeloid	RIMS2	ABCA1	0.00335447225962555	330.8	0.812535328036489	82	0.905647597492558	420	1.37855620040231	268	0.840380746447255	340	0	544
Myeloid	Myeloid	APOE	SORL1	0.00337369977472606	215.6	0.512922667919472	367	2.01978689267307	142	3.06751652223819	10	0.929876257939615	15	0	544
Glioma	Glioma	NRXN1	NLGN3	0.00339011798474241	376.4	0.832970404561264	68.5	0.178888127167897	874.5	1.642028095622	194.5	0.867656790377786	200.5	0	544
