source	target	ligand.complex	receptor.complex	aggregate_rank	mean_rank	natmi.edge_specificity	natmi.rank	connectome.weight_sc	connectome.rank	logfc.logfc_comb	logfc.rank	sca.LRscore	sca.rank	cellphonedb.pvalue	cellphonedb.rank
Glioma	Glioma	PTN	PTPRZ1	7.6833211605605e-06	249	0.849057147976736	144	0.714971804726206	302	4.73245992674749	1	0.953477679661562	1	0	797
Myeloid	Myeloid	APOE	TREM2	1.46670617283951e-05	207.8	0.75889347199383	217	1.45080046859321	17	3.71109878547896	3	0.949991957511152	5	0	797
TCells	TCells	B2M	CD3D	6.90414625810908e-05	353	0.356689052338948	851	1.75999844639168	3	2.2385375026985	111	0.952420543446208	3	0	797
Glioma	Glioma	NCAM1	PTPRZ1	9.9680990884925e-05	282	0.886389840550425	115	0.619646563121294	404	3.25962098626824	17	0.919421267047942	77	0	797
Glioma	Glioma	BCAN	EGFR	0.000261463377792021	263.2	0.849401700113392	143	0.662607838821824	355	4.13957810437493	2	0.942330005676067	19	0	797
Myeloid	Glioma	S100A4	EGFR	0.000275516239981913	298.2	0.474924350694501	549	0.975270040816376	135	3.67235584565866	4	0.949985959329976	6	0	797
Myeloid	Myeloid	C1QA	CD33	0.000304479458370634	243.8	0.951028693808748	47	1.26618147485398	42	2.77526509674373	42	0.870433682475514	291	0	797
Myeloid	Myeloid	C3	C3AR1	0.000333031305231442	233.8	0.874997332414868	127	1.37106945748533	26	2.61942570969049	63	0.898651796259063	156	0	797
Glioma	Glioma	SLITRK3	PTPRD	0.000374713831992407	981.4	0.993648844532069	1	0.243366976303479	1174	0.48555129471738	908	0.556368126032838	2027	0	797
Glioma	Glioma	MDK	PTPRZ1	0.000434742255322895	279.8	0.838449141713856	153	0.630124564258935	393	3.4731281280039	13	0.930420780099658	43	0	797
Myeloid	TCells	C3	IFITM1	0.00050087435272976	235.6	0.841691632471628	149	1.53136502346848	8	2.71081432272033	51	0.896321627789729	173	0	797
Glioma	Glioma	TNC	EGFR	0.000512386032430027	321.8	0.874959606560448	128	0.551895856999345	486	3.07595777105127	24	0.896092988970774	174	0	797
Glioma	Myeloid	APP	CD74	0.000584721922830256	268	0.642475082005022	330	1.01385864717688	120	3.06435190617367	25	0.922748100975161	68	0	797
Glioma	Glioma	PTN	SDC3	0.000613309343951803	291.8	0.829137407032496	161	0.600602381867984	421	3.39535475024487	15	0.923566299823831	65	0	797
