source	target	ligand.complex	receptor.complex	aggregate_rank	mean_rank	natmi.edge_specificity	natmi.rank	connectome.weight_sc	connectome.rank	logfc.logfc_comb	logfc.rank	sca.LRscore	sca.rank	cellphonedb.pvalue	cellphonedb.rank
Glioma	Glioma	PTN	PTPRZ1	3.551997837656e-07	106.6	0.984446511100252	28	9.81684078259775	1	3.97488019336904	1	0.944445163053676	17	0	486
Glioma	Glioma	TNC	PTPRZ1	6.50539859112811e-06	142.8	0.992898709429994	13	8.20823382221569	2	2.62156607259439	3	0.891137148998915	210	0	486
Glioma	Glioma	MDK	PTPRZ1	4.23425349174602e-05	130.6	0.909830299678423	66	6.93106490145877	6	2.78377351454676	2	0.918213299030494	93	0	486
Glioma	Glioma	PTN	CDH10	4.59402229366688e-05	308.2	0.986683851590618	25	6.53275701587108	8	2.21789086038597	9	0.778649411610464	1013	0	486
Glioma	Glioma	PTN	SDC1	7.91506253634407e-05	332.8	0.982842220999632	30	6.06641889119385	13	2.20279952364928	12	0.764269400702851	1123	0	486
Glioma	Glioma	EFEMP1	EGFR	0.000121784266276623	246.4	0.996267406800618	4	7.52712294675394	4	1.34776674948417	91	0.828294863174323	647	0	486
Myeloid	Myeloid	APOE	TREM2	0.000121784266276623	411.4	0.423283192139858	412	0.0770380999618074	1154	2.45499225068809	4	0.955659676134102	1	0	486
Myeloid	Glioma	ITGB2	THY1	0.000165209638075778	283.6	0.549135401444887	249	2.80610068391776	171	1.02225701188004	207	0.876503536942675	305	0	486
Glioma	Glioma	NCAM1	PTPRZ1	0.000190139122924071	160.4	0.93447902363582	59	8.16106606403602	3	2.44575258391124	5	0.885892921771708	249	0	486
Myeloid	Myeloid	CD14	ITGB2	0.000215651891479573	446	0.399282820576184	478	0.0487123145709845	1191	1.62527595689863	41	0.933694298857582	34	0	486
Myeloid	Glioma	APOE	LRP6	0.000246224856089938	286.6	0.55001058835137	248	1.84354297882827	321	1.50509875549586	59	0.87468168236654	319	0	486
Glioma	Glioma	TNC	EGFR	0.000264770775485349	233.6	0.99454088085699	8	7.08355880746054	5	1.58314207460095	45	0.832700763092362	624	0	486
Myeloid	Glioma	APOE	LRP4	0.000271700737831837	277.2	0.55306169615049	244	2.25071682520729	246	1.54295227037747	51	0.869803255424981	359	0	486
Myeloid	Glioma	S100A4	EGFR	0.000287178352756743	235.4	0.467921428518229	334	4.05228090164324	58	1.02772146775854	202	0.91796650958773	97	0	486
Myeloid	Glioma	GRN	EGFR	0.00029924300127317	194.4	0.606646104543237	194	4.0675954042883	56	1.65263961376661	36	0.89311690285208	200	0	486
Myeloid	Glioma	GNAI2	EGFR	0.000411094446616719	273.8	0.466541379473661	336	4.05162323658109	60	1.12921607003809	160	0.873402368586777	327	0	486
Glioma	Myeloid	APP	CD74	0.000485614764245525	275.8	0.426585381926401	403	1.36588891500263	474	2.219070152582	8	0.949015114836074	8	0	486
Myeloid	Glioma	PSAP	GPR37	0.000490371702178145	298.8	0.50878741852594	291	3.10072362895043	136	1.0870372335932	177	0.862710424821454	404	0	486
Myeloid	TCells	HLA-B	CD3D	0.000617050078323166	293.8	0.415694397201414	423	1.76184960632845	361	1.13030089073395	159	0.93130274151972	40	0	486
Myeloid	Myeloid	HLA-DRA	CD4	0.000622031172118215	438.8	0.412671520106236	434	0.0540438295642095	1183	1.70888067331525	31	0.927306071395351	60	0	486
Myeloid	TCells	HLA-B	CD3G	0.000639243867560325	370.4	0.414944112713692	426	1.53045932051132	424	0.707948423478403	399	0.914935142000027	117	0	486
Glioma	Glioma	NRXN1	NLGN1	0.000757585865527653	535.6	0.998111408384645	2.5	6.2958023911257	10.5	0.596000671299877	495.5	0.683185485728763	1683.5	0	486
Myeloid	TCells	HLA-C	CD3D	0.000822259017340562	310.8	0.407617081925237	448	1.75742452526914	365	1.08163322020269	179	0.923453030632048	76	0	486
Myeloid	TCells	HLA-C	CD3G	0.00085016120726919	391.4	0.406881376138587	451	1.52603423945201	427	0.659280752947143	437	0.905405148903472	156	0	486
TCells	TCells	HLA-B	CD8A	0.000859628387892462	345	0.451897515037857	358	1.45226896958217	449	0.955806068323564	243	0.897675208299685	189	0	486
TCells	TCells	HLA-B	CD3D	0.000869179720611792	242.6	0.451195783461277	359	1.91705823573003	302	1.68332591482064	33	0.933878389994693	33	0	486
TCells	TCells	HLA-B	CD3G	0.000878815765194483	286.6	0.450381422720465	363	1.6856679499129	378	1.26097344756509	111	0.918070470558964	95	0	486
Myeloid	Glioma	HSP90AA1	EGFR	0.000908237804981095	246.8	0.40541054936183	457	4.05536196231394	57	1.23951121114329	122	0.915930507879071	112	0	486
Glioma	Glioma	NLGN1	NRXN1	0.000915961272061083	535.6	0.998111408384645	2.5	6.2958023911257	10.5	0.596000671299877	495.5	0.683185485728763	1683.5	0	486
Glioma	Glioma	RGMA	BMPR1B	0.000915961272061083	408.8	0.993640074850758	11	6.46013552712455	9	0.884132473524329	293	0.747886001628137	1245	0	486
Myeloid	Glioma	ALCAM	CHL1	0.000938442641560637	264	0.588552299992882	211	4.44541103776751	42	1.24359903072588	121	0.855028823026764	460	0	486
TCells	TCells	CD48	CD2	0.000969445792260301	257.2	0.674803909584163	164	2.13028082679891	264	1.82084993158509	23	0.871095595932092	349	0	486
TCells	TCells	HLA-C	CD8A	0.000979960290289311	332.4	0.484077439693187	319	1.53830593770233	423	1.00196294210292	220	0.890825636686477	214	0	486
TCells	TCells	HLA-C	CD3D	0.000990565822296298	233.8	0.48332573734113	320	2.00309520385019	284	1.7294827886	30	0.929261270745868	49	0	486
TCells	TCells	HLA-C	CD3G	0.00100126297813151	278.8	0.482453385426634	322	1.77170491803306	352	1.30713032134445	101	0.912453000084284	133	0	486
TCells	TCells	HLA-A	CD8A	0.00100126297813151	386	0.402975151323997	466	1.38583544148783	465	0.849299308744116	310	0.892913812268873	203	0	486
TCells	TCells	HLA-A	CD3D	0.00103391012527853	273	0.402349389112764	469	1.85062470763569	319	1.57681915524119	46	0.930671502449855	45	0	486
TCells	TCells	HLA-C	CD8B	0.00104497972586016	355.6	0.482895033416808	321	1.37667977461452	470	0.966803505550148	231	0.882428648101421	270	0	486
TCells	TCells	HLA-E	CD8A	0.00106740336618715	401.2	0.444098556060135	375	1.36899370669293	472	0.80167444679336	330	0.871362352199908	343	0	486
TCells	TCells	HLA-A	CD3G	0.00106740336618715	326.2	0.401623190955348	472	1.61923442181856	395	1.15446668798564	153	0.914167367038162	125	0	486
Glioma	Glioma	PTN	NCL	0.00111162001810797	226	0.371244981253142	540	4.7480579017499	21	2.21524493068571	10	0.924068907475188	73	0	486
TCells	TCells	CCL5	CXCR3	0.00123537816553581	254.8	0.849813084630389	89	2.2309864821729	250	2.18223376459161	14	0.858145847113148	435	0	486
Myeloid	Glioma	CALM3	EGFR	0.00134045833504291	357.6	0.391934505455347	494	4.04323601310667	65	0.834235933385652	322	0.860631562018637	421	0	486
Myeloid	Myeloid	HLA-DRB1	CD4	0.00145692681977273	426	0.457686358626898	349	0.0508399055257766	1188	1.7819833517453	27	0.922422170939839	80	0	486
Glioma	Glioma	CCN2	EGFR	0.00148022265797678	363.2	0.996072562032424	6	5.83756079203269	14	1.24518842316997	120	0.756106899533732	1190	0	486
TCells	TCells	HLA-B	CD8B	0.00152636490367662	369.8	0.450793711360496	361	1.29064280649436	507	0.920646631770787	271	0.88973983792891	224	0	486
TCells	Glioma	S100A4	EGFR	0.00158753414725588	288.8	0.431469604730185	393	3.9227087170837	81	0.764295886452072	365	0.914860589891431	119	0	486
Myeloid	TCells	HLA-A	CD3D	0.00160312866544985	309.4	0.382830183888247	512	1.76087435800502	362	1.19902162331661	135	0.929049901697432	52	0	486
Myeloid	Myeloid	C1QA	CD93	0.00162005617409904	402.8	0.566041291361764	234	0.0609537303817676	1174	2.06894419638374	18	0.917602944690253	102	0	486
Myeloid	Glioma	FN1	ITGAV_ITGB8	0.0016506489505225	305.4	0.466288932498791	337	1.26638560906574	515	1.41946735894106	74	0.915306042027524	115	0	486
Myeloid	TCells	C3	IFITM1	0.00166673702525025	310.8	0.686144309295244	159	1.26353130598808	516	1.6280950946487	39	0.870563902142438	354	0	486
Myeloid	TCells	HLA-A	CD3G	0.00168295029829505	381.8	0.382139215834944	517	1.52948407218788	425	0.776669156061066	347	0.912196153022972	134	0	486
Glioma	Glioma	LRRC4B	PTPRD	0.00169790390285787	588.2	0.998140523807868	1	5.06850086380635	15	0.63235899144779	459	0.622637841526124	1980	0	486
TCells	Glioma	LTB	TNFRSF1A	0.00169928949896473	343.2	0.448049231174803	367	1.51380941691426	434	1.46410754353589	64	0.869270984938977	365	0	486
Glioma	TCells	CXCL14	CXCR4	0.00178908841708152	229.4	0.559522261989037	240	3.11620488063806	134	1.38102488296437	80	0.892321662160981	207	0	486
Myeloid	Myeloid	HLA-DMA	CD4	0.00187832768147247	437	0.554074982983063	243	0.0421038318142931	1208	1.53198314418948	55	0.895446581601825	193	0	486
TCells	TCells	HLA-A	CD8B	0.00192349552520707	414.6	0.401990845283104	470	1.22420927840002	531	0.814139872191339	327	0.884656637173684	259	0	486
TCells	TCells	HLA-E	KLRK1	0.00195999345009096	421.6	0.43696801767615	382	1.20744868628936	533	0.774177827299314	350	0.870470308356191	357	0	486
TCells	TCells	HLA-E	CD8B	0.00197844900200027	434.2	0.443013802099387	376	1.20736754360512	534	0.766515010240584	360	0.861700778493533	415	0	486
Myeloid	Myeloid	FN1	PLAUR	0.00199522819150401	448.4	0.441863493733087	378	0.040677962651193	1211	1.38404387391044	78	0.9194989684279	89	0	486
Glioma	Myeloid	THY1	ITGAM_ITGB2	0.00207282386821492	323	0.578331468508999	220	2.80111026221167	172	0.956334353972679	242	0.849798150495155	495	0	486
Glioma	Myeloid	PTN	NCL	0.00213022152249765	268	0.321652645453676	717	4.65283415200104	30	2.1065107499057	16	0.91888293834121	91	0	486
Myeloid	Myeloid	APOE	LRP1	0.00213022152249765	560	0.238617053030431	1024	0.0554974096928851	1181	1.59746923452139	43	0.925389543703829	66	0	486
Glioma	Myeloid	THY1	ITGAX_ITGB2	0.00213115485409981	353.4	0.551042290432895	247	2.79809339361298	173	0.839346769993817	319	0.8421587844018	542	0	486
Myeloid	Myeloid	HLA-DQB1	CD4	0.00219966496304208	444	0.606708619258442	193	0.0357387037641336	1227	1.50175478127519	61	0.885593067215659	253	0	486
Glioma	Myeloid	APP	APLP2	0.0022109645965719	330	0.40371518618646	463	1.33995689866496	480	1.39775536665793	77	0.908622580868722	144	0	486
TCells	TCells	B2M	CD3D	0.0022109645965719	271	0.368597999123368	546	2.04850750045468	276	1.66950807295627	35	0.946978639414049	12	0	486
TCells	TCells	HLA-B	KLRD1	0.0022517562005977	386.8	0.450568116499314	362	1.16980643337722	548	0.922780256161374	269	0.882457292749512	269	0	486
TCells	TCells	B2M	CD247	0.0022517562005977	392.4	0.368310839941163	548	1.4076497413279	460	0.841697646778508	315	0.906281077815427	153	0	486
TCells	TCells	B2M	KLRD1	0.00231407041056163	394.4	0.368085235496632	551	1.30125569810186	499	0.908962414297012	277	0.904705702726662	159	0	486
TCells	TCells	B2M	CD3G	0.00233514559384817	303.2	0.367932718660582	552	1.81711721463754	327	1.24715560570073	119	0.93408157265158	32	0	486
Myeloid	Glioma	CALM2	EGFR	0.00235637405043769	295.8	0.367824203899846	553	4.05202464124866	59	0.981979179497538	226	0.905509583397331	155	0	486
Glioma	Glioma	PTN	SDC4	0.00243923720857923	333.6	0.587898320230713	212	4.89670212209915	18	2.2028723895799	11	0.787849361907659	941	0	486
Myeloid	Glioma	PSAP	GPR37L1	0.00244283734553551	349.6	0.508789415205955	290	2.58687177273358	196	1.00390109929325	219	0.840937767538673	557	0	486
Glioma	Myeloid	JAM2	ITGA4_ITGB1	0.00244283734553551	300.2	0.448121563342978	366	2.32186171793705	229	1.25959905148022	113	0.876394125677638	307	0	486
Glioma	Myeloid	APP	LRP1	0.00250933538006763	387.4	0.362757788568368	560	1.33497450648625	484	1.27269845639218	108	0.877391823612235	299	0	486
Myeloid	Myeloid	HLA-DPA1	CD4	0.00272970308167579	440.4	0.444195701047498	374	0.0427151602008031	1205	1.63365010583039	38	0.917853335260427	99	0	486
Myeloid	TCells	HLA-E	CD8A	0.00276566208640372	474	0.413204204691586	432	1.29550074308408	504	0.531054028786365	571	0.867266861139819	377	0	486
Myeloid	TCells	CD59	CD2	0.00278996476721806	369.6	0.358998009974709	572	1.80233125896275	335	1.53525573349734	54	0.863399286444767	401	0	486
TCells	Myeloid	LTB	TNFRSF1A	0.00286389966296581	404.8	0.358411075725983	575	1.3994704454462	462	1.5549437564621	49	0.856056689112094	452	0	486
TCells	TCells	B2M	KLRC1	0.00306874886397677	443.8	0.37204240750055	538	1.08132303309668	583	0.807022232319022	328	0.879819521008183	284	0	486
TCells	Glioma	CALM3	EGFR	0.00320261847970925	385	0.353094009661417	588	3.98597154218777	77	0.849518247415715	308	0.854254253602014	466	0	486
Glioma	Glioma	PTHLH	RAMP2	0.00331226788999267	660	0.989558667938379	21	4.79609645314465	20	0.429161681311117	713	0.608952911107779	2060	0	486
Glioma	Myeloid	CCN1	ITGB2	0.00331304327375953	300.8	0.552642620850681	245	3.0153182959525	142	0.972191327639133	228	0.863057625979787	403	0	486
Myeloid	TCells	CD58	CD2	0.00331304327375953	374.4	0.429436893161555	396	1.80025014919615	338	1.50453557677666	60	0.836558207967864	592	0	486
Myeloid	Myeloid	TNFSF13B	HLA-DPB1	0.00342977561641015	482.6	0.379896921742788	525	0.03973601820271	1213	1.37659857050111	82	0.91666658747939	107	0	486
TCells	Myeloid	CCL5	CCR1	0.00345533556714105	427.4	0.40762322931723	447	1.04041075418609	597	1.78454871461255	26	0.837962881654022	581	0	486
Myeloid	Myeloid	HLA-DPB1	CD4	0.00352470991406366	446	0.445107133816936	372	0.0422106047898494	1207	1.52254005926052	57	0.916397955864789	108	0	486
Myeloid	Myeloid	SPP1	ITGAV_ITGB1	0.00352470991406366	612.6	0.201146224642325	1210	0.0365907526638596	1224	1.40376781590862	76	0.925383519475853	67	0	486
Glioma	Myeloid	JAM2	ITGAV_ITGB1	0.00360247546082574	368.4	0.348507145072501	602	2.31952443824202	230	1.15147563889897	154	0.868474320648859	370	0	486
Myeloid	Myeloid	SPP1	ITGA5_ITGB1	0.00362133975296838	572	0.245277290456952	984	0.0366560909370622	1223	1.43020108103903	73	0.918079054939881	94	0	486
Myeloid	Myeloid	SPP1	ITGA4_ITGB1	0.00371967867429781	547	0.258640208448251	929	0.0389280323588896	1214	1.51189122848988	58	0.930152145133472	48	0	486
Myeloid	TCells	HLA-E	KLRK1	0.00387993657353796	498.6	0.406569712411051	452	1.13395572268051	561	0.50355740929232	611	0.866350772958856	383	0	486
TCells	TCells	HLA-E	KLRC1_KLRD1	0.00394385507469536	488.8	0.444555293943888	373	0.976564837985388	613	0.717678543642175	394	0.838085868421178	578	0	486
Glioma	TCells	PTN	NCL	0.00402508476877813	288.8	0.2937862248838	796	4.59932699175207	32	2.08877274508431	17	0.915440929874311	113	0	486
Myeloid	TCells	B2M	CD3D	0.00414068144295715	331	0.34370557100672	619	1.75496142317957	367	1.10746642421407	170	0.945195582126777	13	0	486
Glioma	Myeloid	PTN	PLXNB2	0.00427620786736348	217.2	0.608873024132291	191	4.66027318711724	27	2.39140406292405	6	0.867377874943242	376	0	486
Myeloid	TCells	HLA-E	CD8B	0.00427620786736348	510.4	0.412194913191939	437	1.13387457999627	562	0.495894592233589	623	0.857348045397757	444	0	486
Myeloid	TCells	B2M	CD3G	0.00427620786736348	399.8	0.343085218747931	623	1.52357113736243	431	0.685113956958523	421	0.931895991046999	38	0	486
Glioma	Myeloid	PTN	SDC3	0.00431063770455573	227.8	0.577763906373304	222	4.65978844041299	28	2.38460291216996	7	0.864174574245735	396	0	486
Glioma	Glioma	PTN	SDC2	0.00431605120634817	301.8	0.516550197379227	277	4.7109755298049	24	2.11310464426595	15	0.820751557662116	707	0	486
Glioma	Myeloid	MDK	ITGA4_ITGB1	0.00438016268379607	342.2	0.437430309753286	381	1.7751227114904	348	1.17476220768264	144	0.870908327038945	352	0	486
Glioma	Myeloid	MDK	ITGA6_ITGB1	0.00441525996164333	386.4	0.409867372647604	444	1.77284388570591	351	1.09623052812048	174	0.852573770899423	477	0	486
Myeloid	Myeloid	HLA-DMB	CD4	0.00444846466519072	468.6	0.578039622671267	221	0.0338610573221221	1236	1.32229170262106	97	0.876894144832083	303	0	486
Glioma	Myeloid	MDK	LRP1	0.00455790607198221	372.2	0.392697220455308	492	1.77723713487435	347	1.23527031665359	123	0.86185166975739	413	0	486
Glioma	Myeloid	CXCL14	CXCR4	0.00455790607198221	444.6	0.339214183666463	631	2.78926321029946	175	0.553563352039545	545	0.865815073389573	386	0	486
Myeloid	Glioma	PSAP	SORT1	0.00485425811928622	360.2	0.404694500598953	459	0.902170880935915	639	1.32367185306171	96	0.914425061026395	121	0	486
Myeloid	Glioma	GRN	SORT1	0.00504716975254708	349.2	0.482132286351374	323	0.891803666151633	644	1.35136014387942	89	0.892758372801806	204	0	486
Myeloid	Glioma	TGFB1	EGFR	0.00508647773819047	326.2	0.56821765693083	229	4.04696384569906	63	1.02135569253872	208	0.828828762787519	645	0	486
Myeloid	Glioma	GSTP1	EGFR	0.00520587342184639	377.2	0.336153802446681	648	4.04538502287305	64	0.768863858848893	358	0.872916861040221	330	0	486
Myeloid	Glioma	MIF	EGFR	0.00528670841842489	325.8	0.335930960978674	650	4.04079874706805	69	0.83607024767225	320	0.917072952721847	104	0	486
Glioma	Glioma	TFPI	F3	0.00544964577967396	446.6	0.984587378868063	27	4.99531567614144	16	0.916007649483986	272	0.722146417528701	1432	0	486
Glioma	Myeloid	SERPINE2	LRP1	0.00557757504975977	392.8	0.388073139629669	500	2.91309974783493	163	1.02067100033561	212	0.834763434125036	603	0	486
Glioma	Glioma	APP	TSPAN12	0.00566586580938635	305.4	0.842374497921037	92	4.40991611146371	45	1.22287648312501	127	0.812156764897349	777	0	486
Myeloid	TCells	HLA-A	CD8A	0.00570608520792531	475.8	0.383425588451741	511	1.29608509185716	503	0.471501776819542	660	0.89051295243729	219	0	486
TCells	Glioma	MIF	EGFR	0.00579306660938514	331.8	0.333538389750893	662	4.02955390381808	72	0.799133799346465	333	0.916800755635284	106	0	486
Glioma	Glioma	S100A1	TRPM3	0.00579724013885758	358	0.941760443577568	56	4.81729398508284	19	1.22140199295231	128	0.767024442994476	1101	0	486
Myeloid	Glioma	ICAM1	EGFR	0.00591352993795439	416.6	0.566779107042073	231	4.04704166669672	62	1.04240948694434	196	0.76663774774292	1108	0	486
Glioma	Glioma	LRIG1	EGFR	0.00606587889602312	302.6	0.944930972379651	55	6.2792221671893	12	1.21151158442568	130	0.802822422833662	830	0	486
