Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-002680,170MGBA,Diffuse Glioma,Primary
ACH-000283,A1207,Diffuse Glioma,Primary
ACH-000289,SNU466,Diffuse Glioma,Primary
ACH-000863,DBTRG05MG,Diffuse Glioma,Primary
ACH-001622,ONDA7,Diffuse Glioma,Primary
ACH-002223,D245MG,Diffuse Glioma,Primary
ACH-000634,LN340,Diffuse Glioma,Primary
ACH-000819,LN18,Diffuse Glioma,Primary
ACH-000231,KALS1,Diffuse Glioma,Primary
ACH-000504,SNB75,Diffuse Glioma,Primary
ACH-001214,U138MG,Diffuse Glioma,Primary
ACH-000469,YH13,Diffuse Glioma,Primary
ACH-000027,GOS3,Diffuse Glioma,Primary
ACH-002227,D392MG,Diffuse Glioma,Primary
ACH-001606,NO11,Diffuse Glioma,Primary
ACH-000328,LN215,Diffuse Glioma,Primary
ACH-000738,GB1,Diffuse Glioma,Primary
ACH-000595,LN229,Diffuse Glioma,Primary
ACH-000571,T98G,Diffuse Glioma,Primary
ACH-000244,DKMG,Diffuse Glioma,Primary
ACH-000200,NMCG1,Diffuse Glioma,Primary
ACH-000673,LN443,Diffuse Glioma,Primary
ACH-001605,NO10,Diffuse Glioma,Primary
ACH-002228,D423MG,Diffuse Glioma,Primary
ACH-000676,LN464,Diffuse Glioma,Primary
ACH-000137,8MGBA,Diffuse Glioma,Primary
ACH-002229,D502MG,Diffuse Glioma,Primary
ACH-000445,KNS60,Diffuse Glioma,Primary
ACH-000887,SF172,Diffuse Glioma,Primary
ACH-001608,NP2,Diffuse Glioma,Primary
ACH-002268,LN405,Diffuse Glioma,Primary
ACH-000464,CAS1,Diffuse Glioma,Primary
ACH-000152,M059K,Diffuse Glioma,Primary
ACH-000036,U343,Diffuse Glioma,Primary
ACH-001118,M059J,Diffuse Glioma,Primary
ACH-000479,KNS81,Diffuse Glioma,Primary
ACH-000370,SNU626,Diffuse Glioma,Primary
ACH-000543,SNU489,Diffuse Glioma,Primary
ACH-000323,42MGBA,Diffuse Glioma,Primary
ACH-000102,GMS10,Diffuse Glioma,Primary
ACH-000570,YKG1,Diffuse Glioma,Primary
ACH-002349,GBM001,Diffuse Glioma,
ACH-000622,KNS42,Diffuse Glioma,Primary
ACH-000215,LN382,Diffuse Glioma,Primary
ACH-002225,D263MG,Diffuse Glioma,Primary
ACH-001611,NP8,Diffuse Glioma,Primary
ACH-002231,D566MG,Diffuse Glioma,Primary
ACH-001609,NP3,Diffuse Glioma,Primary
ACH-001623,ONDA8,Diffuse Glioma,Primary
ACH-001610,NP5,Diffuse Glioma,Primary
ACH-000609,SF126,Diffuse Glioma,Primary
ACH-000269,AM38,Diffuse Glioma,Primary
ACH-000455,LN428,Diffuse Glioma,Primary
ACH-000368,SNU1105,Diffuse Glioma,Primary
ACH-000558,A172,Diffuse Glioma,Primary
ACH-000631,KS1,Diffuse Glioma,Primary
ACH-000760,LNZ308,Diffuse Glioma,Primary
ACH-002259,KNS81FD,Diffuse Glioma,Primary
ACH-000623,SNU201,Diffuse Glioma,Primary
ACH-001624,ONDA9,Diffuse Glioma,Primary
ACH-000376,SF295,Diffuse Glioma,Primary
ACH-000075,U87MG,Diffuse Glioma,Primary
ACH-000098,GAMG,Diffuse Glioma,Primary
ACH-002230,D542MG,Diffuse Glioma,Primary
ACH-001329,ANGMCSS,Diffuse Glioma,Primary
