""	NefAC	NefMES	NefNPC	NefOPC
ZNF445	0.0219307405304071	-0.0875190063568249	-0.060762941115406	-0.0265447817245865
POGZ	-0.0511025213573439	0.01717258687966	-0.0476535927357552	-0.0561904238493903
SRRM2	0.0250841164868314	0.0296077820726547	-0.143823010362663	-0.172059281513914
KMT2A	-0.0150377684552488	-0.0259145950501035	-0.0274167842160221	-0.0565250578587087
UBN2	-0.0136625936578306	-0.0138140338664273	-0.0194466325926197	-0.0587649073955338
TSC2	0.0595636323666807	-0.0229590683984587	-0.0813099578043613	-0.0863832047923498
GPATCH8	-0.00724348288053932	-0.0421186973699477	-0.060061919504644	-0.0910729660908275
CCDC93	-0.0375437375199223	0.0512246505578251	-0.108620489615965	-0.13306342780027
TCERG1	-0.0418573408809179	-0.0678244514872284	0.00748285611348245	-0.0149107540867484
AC010834.3	-0.028677157564988	-0.0111833708880625	-0.0822039435518836	-0.0983298831834198
POU2F1	-0.0264641764522689	0.0351597755265295	-0.0740359426237016	-0.104988367193654
ILF3	0.0186430224534535	-0.0279150713539854	-0.0273972435439451	-0.00441008542937574
DIP2A	0.0219331831144167	-0.00705784649580792	-0.105762666324705	-0.151785834234036
RBM33	0.00903145437558393	0.0587722351475626	-0.09930203161925	-0.111554033011523
ZBTB37	-0.0385256562917911	-0.0139972276671491	-0.0628513504436343	-0.0860974224632239
TNRC6A	0.000765750087017056	0.0199351493945445	-0.145085826295638	-0.194990260196262
NEURL4	0.0695233111200667	-0.0137871738614066	-0.0654625127243561	-0.0746967072115644
MARCHF6	0.0151892086638455	-0.0137285434260905	-0.0258584156178822	-0.0859288841665598
SFSWAP	0.0767789644665091	0.0238237431378656	-0.0367254718766984	-0.0284988489322855
GATAD2B	-0.0420112236735242	-0.0245565183407527	0.0242096714113861	0.00449313328570295
LRIG2	-0.0592192280213238	-0.0267792697895103	-0.0245785015968393	-0.0435427238475583
PRDM15	-0.0262589993954605	0.0315154401841708	-0.140015021891659	-0.157872753586019
NKTR	-0.0057828176427843	-0.0110368158474851	-0.0961022465666429	-0.0963587178876534
ZCCHC14	0.104363065687191	-0.0201281135313048	-0.0610707067006186	-0.0509217701406318
AGO3	-0.0314641459199687	-0.0103260239006845	-0.0363981656194088	-0.0735327703177191
NR2C2	-0.0246029274369355	-0.0432544989344227	-0.0765102802254505	-0.111265808098387
AGO2	-0.0247128437173686	-0.00490348739931974	-0.053679447487497	-0.101324491179219
DNASE1	0.0396724737101543	0.0235159919126038	-0.0949799372133574	-0.110356012943281
KANSL1	-0.0468548677646082	-0.00504027210385867	-0.0278393512496871	-0.0772845793565013
NBPF12	-0.0109733086632348	0.0487942794682495	-0.0651082980685267	-0.067599733758343
LAS1L	0.0358241583771472	0.0123558112126819	-0.0601229841048846	-0.0492437149260203
NSD3	-0.00226793925293568	0.0174290582006705	-0.0612465727493115	-0.105850599349051
BACE1-AS	0.0179175750025953	-0.00498653525564695	-0.0206434987573354	-0.0458387528166047
SETD5	-0.0187724794059636	-0.0723969687532441	-0.0358217157931376	-0.00611500906809314
SNAPC4	0.0721380548482239	-0.0599202496320858	-0.0346834716446529	-0.0136577084898114
CREBZF	0.00987414585890414	-0.0174510414567571	-0.0142146176440056	-0.0197592833458516
ZNF711	0.0107950000305323	-0.0832151733318678	0.0256043868808813	0.0525876124351952
ZNF397	0.0164593523488499	-0.0497688704880894	-0.0102893851405402	-0.0360879574501866
MLLT6	0.0819230463907768	0.00754392071372305	-0.114253088342157	-0.116651705839608
TENT4A	-0.00829623658868717	-0.00360403270619989	-0.111622425363792	-0.133862152771417
CRAMP1	0.0453233675905741	0.021100261967135	-0.0861242908873297	-0.0974505529399552
EP400	0.0506286600594769	0.0175804984092672	-0.05833501260984	-0.0652719511971715
RBBP6	-0.0526364641153877	-0.0201232283632855	-0.0479808989930448	-0.0933543395558161
MTMR4	0.028449997252093	-0.0497444446479931	-0.0638870060637148	-0.117360055202399
FAM193A	0.0607189746032328	-0.0192072593596766	-0.0386648835803396	-0.0246884178772724
STRADA	0.0408803072770684	-0.00731187523280879	-0.0893265185239465	-0.0700887268641496
TSC1	0.00215313780448336	-0.0431567955740378	-0.0515788252392206	-0.0757164404223228
GPR173	0.0118062298105165	-0.0562954549618041	0.00565091810626462	0.0288627939497194
CHD6	-0.0054848223936102	0.0237602359536153	-0.0497835259921471	-0.088408106936328
ARMCX4	0.0045908366460879	-0.0214397811444727	-0.0578293977198478	-0.0527439378118111
