""	VerCL	VerMES	VerNL	VerPN
CRAMP1	-0.107276258802264	-0.0544278670803368	0.0556658342531445	-0.0350899660706172
STRIP1	0.0420935793884074	0.0518271859812643	0.0361168034103374	0.0900785522409125
TNRC18	0.104714947410248	0.0483660967858993	0.0748756696932634	-0.0261253761985617
HTT	-0.00119538071421775	0.111853481116089	0.01857109323874	-0.192925908841071
ZC3H18	-0.0676186207492185	-0.00499455721443091	-0.00128065569600793	-0.147446159133712
KLHL11	-0.115392004334858	0.0295844095464509	-0.230997460398046	-0.23923669711156
GAPVD1	-0.184926682503544	-0.0236921303761466	-0.0523788179667242	-0.184115600562739
MARK2	0.135240128191533	0.13477054441309	0.120554962756594	0.0177161152776156
PHC3	0.139637139935134	0.009178228396837	0.0499039488181509	0.143948772809927
MED13	-0.157691404701776	-0.118204520741532	-0.140359864282469	-0.0724851123940486
NPIPA1	-0.169725945530607	0.00426876120549816	-0.0579697771706651	-0.0291129514214975
INPP4A	0.0148132337381509	0.184887940403261	0.104119530511095	-0.0807257204577617
PDPK1	-0.155553658328353	-0.0133185349611543	-0.144198753521728	-0.0943396226415094
SLC41A1	-0.182873730043541	-0.0597626568769743	0.09297361905575	-0.113549048066251
CCDC93	-0.141039870229659	0.0257833176812089	0.00956202510031589	-0.0647144198753522
INO80	-0.00401272118082483	0.136645962764046	0.0600627521427717	-0.0698811124788325
POLR2A	0.0099889012208657	-0.032527960385896	0.177665841372834	-0.0264663194740886
CCAR2	-0.0277469478357381	0.0875949799368223	-0.0267224451464185	-0.188508494834799
USP37	0.0570794291038973	0.000896535535663309	0.149379897108853	0.108181954636706
SPPL2B	-0.181336976009562	-0.0638606676342525	-0.0548962691027064	-0.146760010245027
BRD8	-0.0365405959190643	-0.176470588235294	-0.101255015794416	-0.0554085204473662
EDC3	0.0245026893195595	0.0851190984376334	0.0560061470161359	-0.011525655254845
AP1G1	-0.0119525313753949	-0.0548962691027064	-0.223512336719884	-0.122513446597797
GON4L	-0.106166357199057	-0.0807666858948998	0.0204478026129265	-0.0250581631185551
MAP2K7	0.0331255869546658	0.166908563134978	-0.195765388884146	-0.0207461794587211
KAT6A	0.119354563305729	0.0155382907880133	-0.0719713139246991	-0.0267224451464185
GPATCH8	-0.135621438207239	0.0965187509557973	-0.0861454398181331	-0.100872980322224
TNRC6A	-0.246478272005464	0.100913514897977	0.0755570733373175	-0.252454537693161
SMG7	-0.0404678562281226	0.0240758131990096	0.130794843336464	-0.165286433876889
SAFB2	-0.191752753350978	0.11713480747887	-0.00981815077264578	-0.20831554682831
ZNF646	-0.146467449439757	0.00418356457158152	0.110437566802871	-0.0306510139019952
ADAR	-0.0862289763510629	0.0207461794587211	0.0665072995816614	-0.0201485528899513
CHERP	-0.228378724494152	0.0528472637240673	-0.0781183300606164	-0.0741056945274481
RANBP3	-0.105694527448135	0.0727396909416887	-0.000683001792879706	-0.157261162810552
NUP153	-0.112866046273371	0.0822163408178946	0.0987791342952275	0.0478955007256894
MAPKBP1	0.00704360632804359	0.117393438800727	0.0313760645521942	-0.0196367206721215
SART3	-0.0502006317766584	0.175360710321865	-0.0273200717151883	-0.14044224366089
DOT1L	-0.234445369415851	0.0793579646292911	0.103562357283841	-0.242086615068698
PROSER3	0.0814070137429038	-0.00260399991521612	-0.0409809822722536	-0.00290281957761796
NFATC2IP	-0.235379492871169	0.199265773072654	0.0250149406642192	-0.237513873473918
STRN	-0.0922906172628703	0.0936566208486297	-0.0490053786391189	-0.166823187910868
NR2C2	-0.145479381883377	0.0192948006488517	-0.0593357807564245	-0.106889780585674
ZZEF1	0.0237353255285645	0.108473852820292	-0.145272145276448	-0.0868303095775184
SMG5	-0.112185438970294	0.0855904890165297	0.168790420733845	-0.0727839320564504
SMC1A	-0.0740203193033382	-0.00563476479125758	0.0455049944506104	-0.124562451976436
SIN3B	-0.167164688807308	0.0948518739861692	-0.0316742081447964	-0.100401263553317
KMT2D	-0.0607017843421839	0.0484077520703492	0.0408093571245624	-0.200290275761974
HCFC1	-0.0861881283413334	0.0668502273316137	0.0470000640434909	-0.132675930106421
MAU2	-0.175151010690684	0.0805532432788985	-0.0377793430322338	-0.0509274081779152
SRCAP	-0.0422616379682615	0.0637339651379944	-0.00584832767843619	-0.113935668421505
